 ,Intensity,X (px),Y (px),X (nm),Y (nm),Z (nm),Left-Width (px),Right-Width (px),Up-Height (px),Down-Height (px),X Symmetry (%),Y Symmetry (%),Width minus Height (px),Frame Number
1,281,53.870,27.252,5386.971,2725.195,90.679,1.746,1.196,0.907,1.623,0.813,0.717,0.412,6
2,1040,20.296,37.444,2029.625,3744.376,6.097,0.865,1.108,0.961,1.015,0.877,0.972,-0.003,10
3,982,54.256,27.441,5425.580,2744.110,34.886,0.879,1.159,0.902,0.957,0.863,0.970,0.177,10
4,487,20.451,37.241,2045.146,3724.121,28.727,1.081,1.274,0.838,1.367,0.918,0.760,0.150,9
5,888,54.232,27.353,5423.223,2735.279,20.734,0.839,1.301,0.905,1.131,0.784,0.889,0.104,11
6,526,54.198,27.324,5419.845,2732.396,76.003,0.896,1.270,0.870,0.986,0.827,0.937,0.310,5
7,142,50.737,39.839,5073.662,3983.944,-46.175,1.675,0.942,1.905,1.029,0.720,0.701,-0.317,5
8,502,54.339,27.498,5433.919,2749.795,-84.228,0.857,0.999,1.222,1.218,0.923,0.999,-0.584,2
9,928,54.194,27.432,5419.402,2743.232,25.462,0.876,1.386,1.015,1.111,0.775,0.955,0.136,3
10,856,54.287,27.422,5428.726,2742.156,58.099,0.868,1.327,0.878,1.086,0.791,0.894,0.231,4
11,987,54.206,27.397,5420.609,2739.672,30.571,0.816,1.155,0.783,1.030,0.828,0.864,0.158,12
12,914,20.715,21.497,2071.504,2149.675,82.035,1.331,1.003,0.978,1.009,0.859,0.985,0.348,12
13,433,19.027,39.191,1902.689,3919.142,38.269,0.798,1.596,0.912,1.296,0.667,0.826,0.186,40
14,548,15.673,45.580,1567.277,4558.028,-68.550,1.149,0.920,1.348,1.212,0.889,0.947,-0.492,18
15,498,30.370,23.233,3036.999,2323.295,-49.504,0.906,1.096,0.961,1.386,0.905,0.819,-0.345,53
16,484,15.651,45.604,1565.141,4560.390,-1.352,1.196,1.038,1.205,1.080,0.929,0.945,-0.051,21
17,228,30.252,23.201,3025.164,2320.128,-36.075,1.043,1.439,1.061,1.660,0.841,0.780,-0.238,55
18,1107,41.187,24.603,4118.746,2460.290,110.248,0.897,1.550,1.000,0.866,0.733,0.928,0.581,20
19,915,15.618,45.350,1561.793,4534.977,-7.852,1.085,0.937,0.979,1.135,0.927,0.926,-0.092,20
20,929,47.040,24.454,4703.981,2445.350,96.289,0.874,1.417,0.847,0.985,0.763,0.924,0.459,20
21,1103,30.544,23.243,3054.354,2324.268,-33.265,1.063,0.895,0.887,1.293,0.914,0.814,-0.222,54
22,385,40.655,24.635,4065.487,2463.474,5.203,1.383,0.936,1.146,1.182,0.807,0.985,-0.009,22
23,1046,41.240,24.836,4124.011,2483.646,-43.643,0.747,1.200,1.314,0.929,0.767,0.829,-0.296,19
24,957,15.598,45.407,1559.849,4540.717,-16.382,1.187,0.903,1.077,1.159,0.864,0.964,-0.146,19
25,1030,45.226,24.261,4522.569,2426.127,8.791,0.840,1.275,0.907,1.190,0.794,0.865,0.018,29
26,1053,45.416,24.167,4541.645,2416.677,-7.983,0.915,1.107,0.826,1.289,0.905,0.781,-0.093,30
27,983,45.259,24.156,4525.931,2415.594,11.461,0.899,1.204,0.798,1.267,0.855,0.773,0.038,31
28,501,20.801,37.009,2080.086,3700.861,12.599,1.266,0.981,0.681,1.520,0.873,0.619,0.046,31
29,772,18.716,20.797,1871.564,2079.731,86.344,1.292,1.070,1.199,0.785,0.906,0.791,0.377,71
30,463,48.657,25.464,4865.659,2546.448,-123.330,1.014,0.807,1.389,1.441,0.886,0.982,-1.009,71
31,733,57.848,30.144,5784.753,3014.360,-6.990,1.315,0.784,0.787,1.398,0.747,0.721,-0.087,80
32,692,30.483,23.389,3048.275,2338.942,-40.880,1.075,1.082,1.041,1.391,0.997,0.856,-0.275,66
33,501,16.144,43.924,1614.388,4392.397,15.836,0.846,1.355,1.325,0.806,0.768,0.757,0.070,66
34,713,44.988,24.274,4498.757,2427.365,88.446,1.534,0.700,0.729,1.111,0.627,0.792,0.394,28
35,1021,22.090,35.522,2209.030,3552.224,42.016,0.782,1.484,1.012,1.059,0.690,0.977,0.194,73
36,1109,22.062,35.469,2206.208,3546.923,29.055,0.823,1.365,0.935,1.101,0.752,0.918,0.152,72
37,772,51.992,26.363,5199.238,2636.263,66.579,1.462,0.824,0.880,1.144,0.721,0.870,0.262,73
38,218,58.344,30.317,5834.367,3031.691,28.690,1.102,1.593,1.146,1.398,0.818,0.901,0.150,73
39,638,18.565,20.594,1856.479,2059.368,65.569,1.178,1.136,1.174,0.884,0.982,0.859,0.257,72
40,416,52.060,26.274,5205.952,2627.373,46.229,1.007,1.416,0.913,1.305,0.831,0.823,0.204,72
41,278,38.265,23.722,3826.519,2372.222,-114.162,0.858,1.182,1.636,1.303,0.841,0.887,-0.899,89
42,315,20.096,36.180,2009.606,3617.963,-14.189,0.870,1.349,0.936,1.417,0.784,0.796,-0.135,91
43,810,30.417,23.311,3041.708,2331.072,-15.103,0.927,0.995,0.820,1.242,0.965,0.796,-0.140,65
44,329,16.061,44.187,1606.108,4418.664,25.561,0.703,1.590,0.923,1.234,0.613,0.856,0.136,67
45,504,14.832,18.518,1483.241,1851.775,148.929,1.524,1.250,0.916,1.002,0.901,0.955,0.856,88
46,799,57.946,30.190,5794.616,3018.960,-3.299,1.341,0.596,0.795,1.204,0.615,0.795,-0.063,81
47,422,38.149,23.536,3814.875,2353.568,-91.338,0.794,1.270,1.434,1.282,0.769,0.944,-0.651,85
48,605,14.332,50.395,1433.205,5039.451,-49.805,0.917,0.974,1.075,1.164,0.970,0.960,-0.348,95
49,689,14.223,50.312,1422.276,5031.210,-71.490,0.792,1.200,1.156,1.344,0.795,0.925,-0.508,94
50,868,57.701,29.810,5770.138,2981.038,64.122,1.361,0.992,1.296,0.806,0.843,0.767,0.251,79
51,578,19.978,36.028,1997.789,3602.779,19.763,1.466,0.637,0.568,1.437,0.606,0.567,0.097,90
52,504,57.824,30.135,5782.425,3013.497,14.602,1.309,0.744,0.728,1.263,0.725,0.732,0.061,82
53,712,54.594,27.476,5459.438,2747.616,76.864,1.346,1.111,1.029,1.112,0.905,0.961,0.315,101
54,454,14.895,59.694,1489.506,5969.435,-77.718,1.412,0.879,1.512,1.322,0.768,0.933,-0.543,103
55,1038,57.554,29.638,5755.391,2963.825,114.924,1.348,1.246,1.102,0.873,0.961,0.884,0.618,78
56,292,19.960,35.994,1996.015,3599.431,-10.916,1.696,0.862,1.580,1.091,0.674,0.817,-0.113,92
57,182,14.426,49.822,1442.635,4982.159,115.593,1.196,1.762,1.765,0.570,0.809,0.489,0.622,92
58,799,52.808,26.351,5280.772,2635.059,11.821,1.383,0.859,1.006,1.196,0.766,0.914,0.040,75
59,283,18.427,20.929,1842.659,2092.874,77.094,1.168,1.219,1.387,0.682,0.978,0.659,0.317,75
60,413,22.065,35.657,2206.480,3565.710,13.849,0.839,1.294,1.247,0.830,0.787,0.799,0.056,74
61,1116,57.248,29.344,5724.784,2934.419,50.046,1.224,1.511,1.150,1.374,0.895,0.911,0.211,77
62,786,22.742,30.814,2274.175,3081.386,-105.314,1.193,0.730,1.594,1.126,0.759,0.828,-0.798,108
63,694,14.465,50.051,1446.493,5005.059,-74.555,1.129,1.040,0.896,1.798,0.959,0.665,-0.524,108
64,298,46.077,24.462,4607.678,2446.241,-64.246,0.878,1.558,1.357,1.546,0.721,0.935,-0.467,111
65,145,13.728,8.208,1372.816,820.805,11.024,1.108,1.561,0.838,1.797,0.830,0.636,0.034,111
66,807,14.340,49.839,1433.950,4983.885,-100.726,0.783,1.042,1.558,1.016,0.858,0.790,-0.748,109
67,863,22.723,31.127,2272.301,3112.671,-103.181,1.162,0.762,1.009,1.690,0.792,0.748,-0.775,109
68,241,33.809,24.738,3380.908,2473.801,75.458,1.638,1.205,1.349,1.187,0.847,0.936,0.306,125
69,328,20.267,35.194,2026.692,3519.355,-18.294,0.764,1.386,0.908,1.395,0.711,0.789,-0.154,113
70,568,38.105,24.029,3810.519,2402.883,-20.720,0.752,1.368,0.663,1.621,0.710,0.581,-0.164,154
71,637,19.584,38.266,1958.448,3826.609,-48.227,1.001,0.866,0.931,1.270,0.928,0.846,-0.334,160
72,1109,19.557,38.206,1955.748,3820.642,-19.144,1.068,0.934,0.861,1.298,0.934,0.798,-0.157,168
73,648,21.424,33.139,2142.382,3313.930,-93.155,0.889,0.975,0.971,1.563,0.954,0.767,-0.669,164
74,1047,21.415,33.124,2141.478,3312.393,-54.881,0.930,0.979,0.841,1.459,0.974,0.732,-0.392,163
75,754,14.394,49.906,1439.362,4990.628,-56.478,0.981,1.136,1.514,1.008,0.927,0.799,-0.405,112
76,339,19.462,38.332,1946.168,3833.164,27.132,1.171,1.131,0.980,1.179,0.983,0.908,0.143,169
77,635,37.439,23.341,3743.905,2334.059,-36.434,0.971,1.070,1.051,1.230,0.951,0.921,-0.241,135
78,934,15.400,46.023,1539.996,4602.321,-48.759,0.867,1.014,0.758,1.462,0.922,0.683,-0.339,174
79,788,52.372,26.157,5237.162,2615.680,24.406,0.987,1.111,0.797,1.171,0.941,0.810,0.129,178
80,558,21.746,32.826,2174.642,3282.558,-126.248,1.057,0.655,1.560,1.195,0.765,0.868,-1.044,178
81,634,21.664,32.678,2166.371,3267.815,-93.424,1.066,0.839,1.386,1.191,0.881,0.925,-0.672,179
82,256,52.634,26.409,5263.407,2640.898,32.228,1.513,1.467,1.248,1.567,0.985,0.887,0.166,179
83,581,21.607,32.538,2160.718,3253.761,-56.631,1.032,0.873,1.223,1.088,0.917,0.941,-0.406,182
84,576,19.478,38.264,1947.826,3826.402,-69.509,0.920,1.020,1.014,1.422,0.948,0.833,-0.497,159
85,479,21.655,21.693,2165.455,2169.333,74.454,1.421,1.052,1.172,1.001,0.851,0.921,0.301,128
86,1105,33.789,24.488,3378.869,2448.756,-13.227,1.188,0.697,1.018,0.996,0.739,0.989,-0.128,123
87,1093,33.910,24.438,3391.018,2443.777,-3.879,1.324,0.714,0.915,1.189,0.701,0.870,-0.066,124
88,1119,19.515,38.273,1951.479,3827.339,-11.306,0.970,0.987,0.875,1.198,0.991,0.844,-0.115,172
89,982,15.410,46.076,1541.014,4607.637,-44.117,0.925,0.989,0.807,1.407,0.967,0.729,-0.300,172
90,315,20.760,21.385,2076.024,2138.524,-12.247,1.492,0.999,1.284,1.328,0.802,0.983,-0.122,172
91,128,57.681,50.795,5768.139,5079.481,-8.173,1.473,1.124,1.795,0.897,0.866,0.667,-0.095,140
92,889,21.928,21.834,2192.799,2183.394,-8.714,1.330,0.753,1.347,0.834,0.723,0.765,-0.098,130
93,460,21.350,32.983,2135.041,3298.330,-76.916,1.016,1.150,1.744,0.962,0.938,0.711,-0.538,162
94,354,16.540,43.653,1653.955,4365.301,-6.846,1.226,1.055,1.269,1.098,0.925,0.928,-0.086,188
95,569,37.477,23.628,3747.744,2362.772,-98.617,1.017,0.966,1.427,1.283,0.974,0.947,-0.726,136
96,777,16.435,43.555,1643.518,4355.459,-42.844,1.013,1.073,1.206,1.170,0.971,0.985,-0.290,186
97,366,4.741,12.289,474.071,1228.916,158.384,1.542,1.375,0.844,1.159,0.943,0.843,0.915,186
98,405,58.915,31.286,5891.474,3128.612,124.307,1.696,0.946,0.851,1.112,0.716,0.867,0.679,186
99,430,15.659,46.137,1565.917,4613.712,8.469,1.225,0.867,0.760,1.316,0.829,0.732,0.015,173
100,439,19.566,38.339,1956.571,3833.918,-17.569,1.267,0.837,0.957,1.298,0.795,0.849,-0.151,173
101,935,38.247,23.937,3824.741,2393.683,56.980,0.975,1.212,1.296,0.665,0.892,0.678,0.227,156
102,452,4.892,12.065,489.241,1206.539,87.415,1.705,0.918,0.769,1.468,0.700,0.688,0.386,195
103,892,21.670,21.781,2166.979,2178.073,16.915,1.256,0.958,1.195,0.941,0.866,0.881,0.078,129
104,356,33.745,24.455,3374.525,2445.481,76.416,1.373,1.164,0.997,1.228,0.918,0.896,0.312,129
105,777,59.193,31.126,5919.268,3112.567,78.443,0.853,1.316,0.651,1.193,0.787,0.706,0.325,185
106,380,32.772,23.661,3277.191,2366.071,32.897,1.533,1.268,1.289,1.343,0.906,0.979,0.169,197
107,670,26.013,32.076,2601.251,3207.571,2.289,0.780,1.334,0.783,1.358,0.738,0.732,-0.028,132
108,593,59.271,31.077,5927.055,3107.727,76.915,0.977,1.315,0.729,1.247,0.853,0.738,0.316,183
109,881,25.544,32.211,2554.388,3221.099,43.784,1.268,0.993,0.767,1.296,0.878,0.743,0.199,208
110,101,46.377,59.246,4637.711,5924.579,-25.896,1.405,1.397,1.059,1.930,0.997,0.709,-0.186,208
111,619,25.449,32.112,2544.876,3211.176,31.498,1.088,1.060,0.715,1.270,0.987,0.720,0.162,209
112,946,23.793,33.716,2379.330,3371.647,-61.342,1.107,0.606,1.312,0.844,0.707,0.783,-0.444,204
113,937,31.124,28.382,3112.407,2838.234,30.573,0.766,1.371,0.909,1.071,0.717,0.918,0.158,204
114,471,31.044,28.130,3104.380,2812.974,-36.846,0.768,1.337,0.887,1.463,0.729,0.755,-0.244,200
115,502,14.577,55.637,1457.710,5563.654,-109.151,1.080,0.941,1.398,1.465,0.931,0.977,-0.842,199
116,610,28.862,30.202,2886.207,3020.189,27.990,1.326,0.835,0.772,1.242,0.773,0.767,0.147,202
117,880,42.163,23.988,4216.324,2398.837,-102.228,0.630,1.153,1.652,0.895,0.707,0.703,-0.764,187
118,586,16.429,43.706,1642.852,4370.636,-76.335,0.900,1.016,1.377,1.074,0.939,0.876,-0.535,187
119,256,44.527,24.899,4452.665,2489.914,-111.526,0.935,0.989,1.665,1.128,0.972,0.808,-0.869,206
120,1075,25.941,31.867,2594.053,3186.660,20.437,1.424,0.764,1.319,0.766,0.698,0.735,0.102,131
121,268,15.265,46.308,1526.453,4630.776,-30.305,1.042,1.197,1.170,1.276,0.931,0.957,-0.207,131
122,812,29.749,29.440,2974.948,2943.974,94.185,1.583,1.341,1.273,1.210,0.917,0.974,0.440,203
123,940,45.853,24.362,4585.252,2436.170,77.758,1.434,0.961,0.874,1.200,0.802,0.843,0.321,110
124,887,22.727,30.852,2272.670,3085.211,-47.862,1.214,0.869,1.455,0.960,0.835,0.795,-0.331,110
125,443,38.229,24.193,3822.930,2419.306,-39.435,1.031,1.159,0.972,1.482,0.942,0.792,-0.264,155
126,383,31.611,23.401,3161.149,2340.081,-60.376,1.331,0.858,1.031,1.595,0.784,0.785,-0.436,216
127,346,16.325,19.647,1632.491,1964.693,-23.652,0.969,1.038,1.129,1.055,0.966,0.966,-0.176,213
128,1025,20.940,21.600,2093.980,2160.026,68.927,1.397,0.814,1.068,0.869,0.737,0.897,0.273,171
129,830,19.524,38.347,1952.431,3834.707,-7.016,1.066,1.020,0.910,1.262,0.978,0.838,-0.087,171
130,438,15.405,46.319,1540.494,4631.950,10.159,0.988,1.199,0.998,1.162,0.904,0.924,0.028,171
131,457,32.880,23.533,3287.994,2353.266,-63.281,1.314,0.777,1.161,1.389,0.743,0.911,-0.459,194
132,781,37.166,23.755,3716.645,2375.514,-44.782,0.734,1.232,1.247,1.024,0.747,0.902,-0.305,239
133,1093,36.947,23.740,3694.674,2373.955,103.689,1.538,0.852,1.113,0.748,0.713,0.804,0.528,238
134,262,37.616,23.511,3761.568,2351.089,-75.365,1.277,0.928,1.119,1.616,0.842,0.818,-0.529,236
135,467,16.517,19.671,1651.712,1967.065,120.767,1.256,1.252,1.096,0.756,0.998,0.817,0.656,229
136,939,17.671,41.396,1767.097,4139.628,11.307,1.184,0.816,0.918,1.046,0.816,0.935,0.037,231
137,581,59.574,31.477,5957.437,3147.718,23.046,1.045,1.036,0.986,0.975,0.996,0.994,0.120,235
138,742,14.282,53.418,1428.170,5341.816,-94.255,0.834,1.097,1.288,1.323,0.863,0.987,-0.680,228
139,706,14.270,53.673,1427.038,5367.273,-115.186,0.767,1.106,1.428,1.357,0.819,0.974,-0.911,231
140,239,28.611,23.193,2861.064,2319.259,19.123,1.517,1.328,1.199,1.554,0.934,0.871,0.093,231
141,254,28.424,22.883,2842.396,2288.345,77.477,1.262,1.407,1.377,0.973,0.946,0.828,0.319,232
142,399,18.584,20.851,1858.395,2085.057,120.790,1.272,1.170,1.092,0.694,0.958,0.778,0.656,222
143,920,17.717,41.327,1771.722,4132.718,-47.674,1.118,0.797,1.025,1.219,0.832,0.913,-0.330,230
144,372,14.042,53.106,1404.165,5310.628,-79.008,0.659,1.599,1.179,1.631,0.584,0.839,-0.552,230
145,93,55.094,24.481,5509.417,2448.058,9.738,1.094,1.655,1.518,1.206,0.796,0.885,0.025,235
146,1269,28.511,23.111,2851.100,2311.105,-18.307,1.018,0.986,0.780,1.377,0.984,0.723,-0.154,233
147,616,18.547,20.744,1854.715,2074.368,97.764,1.354,1.175,1.202,0.853,0.929,0.830,0.473,223
148,652,15.301,46.690,1530.075,4668.988,-5.561,0.999,1.144,1.229,0.991,0.933,0.893,-0.077,245
149,744,28.502,22.954,2850.190,2295.387,-59.715,1.015,0.931,1.562,0.815,0.957,0.686,-0.431,247
150,641,28.779,23.149,2877.905,2314.861,11.809,1.249,0.928,0.818,1.318,0.853,0.766,0.040,248
151,171,3.136,43.121,313.596,4312.061,-7.123,0.960,1.415,0.972,1.491,0.808,0.789,-0.088,250
152,722,14.287,53.263,1428.680,5326.326,-91.262,0.740,1.079,1.121,1.348,0.813,0.908,-0.651,227
153,527,16.850,42.752,1684.954,4275.194,174.889,1.653,1.246,1.013,0.875,0.860,0.927,1.012,227
154,452,44.779,24.819,4477.921,2481.874,-110.570,1.241,0.782,1.492,1.389,0.773,0.964,-0.858,220
155,356,31.568,23.372,3156.794,2337.246,-30.503,1.088,1.109,1.115,1.291,0.991,0.927,-0.208,220
156,778,15.397,46.586,1539.675,4658.617,-17.216,0.892,1.161,1.169,1.033,0.869,0.938,-0.149,246
157,1044,37.092,23.736,3709.219,2373.612,3.680,0.745,1.274,1.177,0.862,0.738,0.845,-0.019,237
158,607,45.204,24.649,4520.425,2464.887,77.146,0.983,1.794,1.407,1.053,0.708,0.856,0.317,234
159,229,28.317,23.094,2831.674,2309.396,32.031,1.241,1.452,0.986,1.543,0.922,0.780,0.165,234
160,290,56.632,28.714,5663.199,2871.353,-44.647,1.292,1.242,1.552,1.285,0.980,0.906,-0.304,288
161,794,56.403,28.751,5640.295,2875.144,-7.182,1.003,1.053,1.272,0.872,0.976,0.813,-0.088,287
162,407,14.632,57.727,1463.190,5772.728,-98.961,1.120,0.957,1.540,1.267,0.922,0.902,-0.730,283
163,631,14.746,58.180,1474.638,5817.983,-101.068,1.135,0.771,1.136,1.523,0.809,0.855,-0.752,282
164,310,14.632,58.351,1463.197,5835.053,-89.351,1.117,0.966,1.239,1.476,0.928,0.913,-0.632,281
165,860,40.060,23.540,4005.968,2354.010,-85.526,0.665,1.317,1.317,1.259,0.671,0.977,-0.594,293
166,308,40.129,23.998,4012.863,2399.795,-61.534,0.874,1.166,1.570,0.916,0.857,0.737,-0.445,292
167,418,14.544,55.622,1454.357,5562.222,-70.932,1.099,1.016,1.349,1.271,0.960,0.970,-0.505,329
168,587,14.502,55.122,1450.207,5512.209,-100.823,0.984,0.930,1.074,1.590,0.972,0.806,-0.750,328
169,625,47.390,24.273,4738.995,2427.275,72.401,1.058,1.323,0.956,1.134,0.889,0.914,0.291,327
170,681,17.536,41.142,1753.596,4114.249,95.296,1.384,1.192,0.808,1.317,0.925,0.761,0.450,331
171,929,47.314,24.320,4731.398,2431.993,-14.315,0.934,1.167,1.011,1.226,0.889,0.904,-0.135,326
172,807,47.348,24.395,4734.813,2439.467,10.805,0.888,1.131,0.886,1.100,0.880,0.892,0.033,325
173,338,14.610,55.274,1461.046,5527.442,-50.522,1.322,0.925,1.125,1.477,0.823,0.865,-0.354,324
174,496,35.124,23.423,3512.378,2342.313,-80.194,0.799,1.357,1.343,1.372,0.742,0.989,-0.559,323
175,739,31.862,27.173,3186.234,2717.303,13.731,1.325,0.691,0.705,1.256,0.686,0.719,0.055,313
176,878,17.545,40.193,1754.499,4019.345,75.167,1.286,1.070,0.829,1.222,0.908,0.809,0.305,347
177,786,53.659,27.170,5365.907,2717.039,-49.505,1.064,0.808,0.848,1.368,0.863,0.765,-0.345,347
178,1155,32.117,23.489,3211.680,2348.895,7.760,0.708,1.260,1.002,0.956,0.719,0.976,0.010,346
179,881,17.662,40.425,1766.179,4042.523,145.068,1.412,1.176,0.778,0.980,0.909,0.885,0.830,346
180,377,32.322,23.391,3232.214,2339.141,19.775,0.935,1.435,1.087,1.185,0.789,0.957,0.097,347
181,1091,32.086,23.514,3208.614,2351.442,-15.163,0.730,1.297,1.110,1.057,0.720,0.976,-0.141,345
182,297,17.918,40.276,1791.846,4027.607,102.938,1.512,0.970,0.805,1.157,0.782,0.821,0.521,345
183,1084,32.218,23.422,3221.822,2342.249,-43.899,0.718,1.159,1.017,1.158,0.765,0.935,-0.298,344
184,352,4.177,10.658,417.735,1065.790,209.362,1.244,1.735,1.037,0.791,0.835,0.865,1.152,343
185,340,4.171,10.742,417.088,1074.193,154.469,1.254,1.682,1.171,0.873,0.854,0.854,0.892,342
186,655,21.607,32.909,2160.698,3290.911,-54.130,1.045,0.867,1.351,0.946,0.907,0.824,-0.385,355
187,407,17.499,40.906,1749.850,4090.605,110.999,1.247,1.271,1.277,0.653,0.990,0.677,0.587,333
188,404,17.467,41.179,1746.657,4117.940,43.389,1.181,1.369,0.651,1.701,0.926,0.554,0.198,332
189,374,17.630,41.147,1762.969,4114.703,34.995,1.382,1.253,0.923,1.534,0.951,0.751,0.178,334
190,875,21.500,32.727,2149.980,3272.705,-79.565,0.971,1.001,1.490,1.038,0.985,0.821,-0.555,358
191,488,14.591,56.569,1459.116,5656.888,-41.890,1.197,0.876,1.253,1.104,0.845,0.937,-0.283,358
192,891,21.570,32.832,2156.966,3283.226,-109.208,1.004,0.855,1.578,1.123,0.920,0.832,-0.842,357
193,401,14.592,56.736,1459.150,5673.589,-52.707,1.154,1.024,1.322,1.230,0.940,0.964,-0.373,357
194,1162,21.532,32.958,2153.192,3295.843,-47.405,0.993,0.915,1.426,0.810,0.959,0.724,-0.327,356
195,865,23.826,29.030,2382.595,2902.963,-133.497,1.178,0.637,1.073,1.876,0.702,0.727,-1.134,353
196,796,36.399,23.509,3639.859,2350.858,-73.154,0.875,1.010,1.235,1.166,0.928,0.971,-0.517,373
197,469,21.846,35.787,2184.590,3578.696,5.033,1.343,0.901,1.325,0.929,0.803,0.824,-0.011,373
198,880,53.711,26.949,5371.083,2694.909,12.106,1.140,0.922,1.363,0.656,0.894,0.650,0.043,348
199,826,53.671,26.961,5367.097,2696.116,56.727,1.289,0.974,1.375,0.663,0.861,0.651,0.226,349
200,775,24.483,28.073,2448.332,2807.305,-131.471,0.959,0.930,1.131,1.866,0.985,0.755,-1.109,376
201,493,17.754,40.206,1775.441,4020.567,123.012,1.402,1.215,0.698,1.248,0.929,0.718,0.670,376
202,1039,17.485,40.276,1748.516,4027.646,62.905,1.044,1.045,0.787,1.056,1.000,0.854,0.247,375
203,930,36.389,23.732,3638.870,2373.210,-100.476,0.841,1.044,1.442,1.189,0.893,0.904,-0.746,372
204,338,36.126,23.826,3612.623,2382.578,-92.262,0.885,1.336,1.538,1.343,0.797,0.932,-0.661,371
205,697,21.748,35.991,2174.800,3599.120,-46.494,1.209,0.860,1.477,0.911,0.831,0.763,-0.319,372
206,1105,33.854,23.383,3385.374,2338.349,-37.415,1.254,0.744,1.122,1.124,0.745,0.999,-0.248,367
207,428,33.872,23.453,3387.205,2345.346,1.371,1.351,0.862,0.907,1.340,0.779,0.807,-0.034,366
208,499,40.266,23.605,4026.593,2360.523,21.846,0.817,1.837,1.410,1.132,0.616,0.891,0.112,363
209,580,6.851,16.146,685.061,1614.558,180.124,1.632,1.174,0.638,1.128,0.837,0.723,1.040,363
210,420,46.097,24.765,4609.702,2476.520,49.293,0.736,1.882,1.357,1.051,0.562,0.873,0.209,363
211,753,48.021,25.251,4802.078,2525.103,-143.213,0.445,1.153,1.267,1.580,0.557,0.890,-1.249,365
212,721,39.977,23.800,3997.748,2380.003,-70.321,1.307,0.538,1.335,1.011,0.584,0.862,-0.501,362
213,496,53.388,27.329,5338.805,2732.922,-127.657,0.861,1.052,1.328,1.647,0.900,0.893,-1.062,362
214,424,45.286,25.022,4528.632,2502.233,-140.156,0.727,1.053,1.003,1.990,0.817,0.670,-1.213,361
215,1045,27.856,22.980,2785.595,2297.953,-0.626,1.338,0.869,1.429,0.824,0.788,0.732,-0.046,378
216,255,14.561,50.224,1456.092,5022.389,-63.106,1.178,1.106,1.335,1.407,0.969,0.974,-0.458,378
217,463,28.126,23.215,2812.557,2321.544,85.586,0.833,1.494,0.807,1.149,0.716,0.825,0.371,380
218,726,27.566,23.206,2756.642,2320.643,1.987,1.404,1.182,0.887,1.729,0.914,0.678,-0.030,377
219,814,14.559,50.591,1455.879,5059.076,-62.399,1.043,0.908,1.235,1.168,0.931,0.972,-0.452,377
220,1439,15.859,45.561,1585.939,4556.095,14.418,1.393,0.865,1.143,1.056,0.766,0.961,0.060,386
221,354,33.825,23.569,3382.524,2356.944,-19.417,1.321,0.839,1.214,1.105,0.777,0.953,-0.159,390
222,730,33.958,23.273,3395.788,2327.344,-46.699,1.257,0.676,0.935,1.320,0.700,0.829,-0.321,389
223,523,33.201,25.110,3320.053,2510.999,-38.985,0.870,1.279,0.960,1.450,0.810,0.797,-0.260,416
224,280,15.842,45.633,1584.244,4563.291,106.961,1.694,1.154,1.265,1.027,0.810,0.896,0.556,387
225,344,40.119,24.863,4011.935,2486.285,-42.416,0.734,1.244,1.302,0.963,0.742,0.850,-0.287,415
226,582,23.398,22.049,2339.790,2204.939,62.332,0.989,1.260,0.659,1.344,0.879,0.658,0.245,411
227,882,23.426,22.150,2342.560,2214.999,33.382,1.045,1.143,0.760,1.257,0.955,0.754,0.171,410
228,810,18.286,40.330,1828.551,4033.015,-43.723,0.794,1.129,0.921,1.299,0.826,0.830,-0.297,410
229,1109,23.398,22.288,2339.790,2228.806,-22.408,0.881,1.098,0.921,1.229,0.891,0.857,-0.171,409
230,416,18.152,40.305,1815.235,4030.526,-97.914,0.530,1.124,1.017,1.355,0.641,0.858,-0.719,409
231,801,16.608,19.824,1660.769,1982.374,109.319,1.259,1.029,1.126,0.588,0.900,0.686,0.574,408
232,588,23.477,22.133,2347.655,2213.274,-10.924,1.021,1.103,0.812,1.426,0.962,0.726,-0.113,408
233,950,16.857,19.833,1685.651,1983.322,62.244,1.295,0.767,1.176,0.641,0.744,0.706,0.245,405
234,844,16.776,19.921,1677.649,1992.093,93.385,1.256,0.905,1.170,0.557,0.837,0.645,0.434,407
235,1149,16.950,20.062,1694.971,2006.237,105.763,1.532,0.890,0.558,1.318,0.735,0.595,0.546,404
236,665,38.769,23.403,3876.866,2340.255,-112.139,1.054,0.656,1.195,1.390,0.767,0.924,-0.876,404
237,1614,38.853,23.606,3885.266,2360.646,-108.217,1.156,0.671,1.383,1.275,0.734,0.960,-0.831,403
238,976,39.004,23.678,3900.395,2367.780,-69.853,0.674,1.363,1.410,1.126,0.661,0.888,-0.499,402
239,153,32.521,14.017,3252.123,1401.698,-76.271,1.385,0.895,0.686,2.129,0.785,0.487,-0.534,403
240,290,21.067,33.728,2106.668,3372.848,-47.757,0.744,1.504,1.470,1.108,0.662,0.859,-0.330,401
241,635,26.130,31.716,2612.968,3171.628,11.573,0.750,1.402,1.170,0.944,0.697,0.893,0.039,400
242,905,17.290,40.551,1729.003,4055.136,73.898,0.991,1.307,1.041,0.959,0.862,0.959,0.298,432
243,548,17.541,40.745,1754.061,4074.537,78.004,1.213,1.201,1.230,0.861,0.995,0.823,0.322,431
