 ,Intensity,X (px),Y (px),X (nm),Y (nm),Z (nm),Left-Width (px),Right-Width (px),Up-Height (px),Down-Height (px),X Symmetry (%),Y Symmetry (%),Width minus Height (px),Frame Number
1455,967,34.950,23.605,3494.972,2360.490,40.698,1.434,0.791,1.121,0.912,0.711,0.897,0.191,2590
1456,432,14.391,50.728,1439.150,5072.776,-82.761,1.036,1.052,1.413,1.250,0.992,0.939,-0.575,2620
1457,765,14.382,50.699,1438.235,5069.898,-91.324,0.753,1.071,1.380,1.096,0.826,0.885,-0.651,2621
1458,484,20.981,36.711,2098.142,3671.090,16.737,1.408,0.773,1.216,0.889,0.709,0.845,0.076,2589
1459,507,23.984,29.169,2398.369,2916.939,-111.104,1.385,0.603,1.141,1.712,0.607,0.800,-0.864,2587
1460,783,24.000,29.215,2400.000,2921.506,-122.294,1.371,0.573,1.209,1.731,0.590,0.822,-0.997,2585
1461,647,23.945,29.414,2394.502,2941.405,-125.342,1.337,0.593,1.377,1.586,0.614,0.930,-1.033,2584
1462,742,27.380,22.985,2738.023,2298.512,17.570,1.016,1.200,1.397,0.736,0.917,0.690,0.082,2619
1463,815,14.382,50.703,1438.192,5070.343,-76.216,0.840,1.070,1.422,1.023,0.880,0.837,-0.534,2623
1464,554,27.170,22.905,2716.994,2290.538,-49.353,0.829,1.179,1.538,0.815,0.826,0.693,-0.344,2623
1465,658,27.328,23.080,2732.816,2307.954,49.278,0.935,1.265,0.656,1.334,0.850,0.660,0.209,2618
1466,288,16.546,43.562,1654.650,4356.175,123.431,1.427,1.493,1.125,1.123,0.977,0.999,0.673,2617
1467,895,24.055,33.536,2405.498,3353.606,12.573,0.754,1.383,1.050,1.041,0.706,0.995,0.046,2633
1468,188,3.580,10.669,358.010,1066.865,69.276,1.559,1.225,1.420,1.089,0.880,0.868,0.275,2633
1469,468,30.391,28.851,3039.148,2885.064,-10.949,0.932,1.136,1.409,0.772,0.901,0.708,-0.113,2611
1470,265,7.408,16.394,740.814,1639.355,-7.721,1.084,1.466,1.137,1.504,0.850,0.861,-0.092,2610
1471,526,7.361,16.339,736.127,1633.854,144.556,1.320,1.522,0.839,1.176,0.929,0.833,0.827,2609
1472,905,40.252,23.697,4025.215,2369.735,-116.554,0.739,1.048,1.503,1.211,0.827,0.892,-0.928,2651
1473,544,7.255,16.247,725.461,1624.668,125.804,1.116,1.662,0.834,1.255,0.803,0.798,0.689,2608
1474,812,40.350,23.832,4035.026,2383.169,-111.765,0.864,1.133,1.679,1.190,0.865,0.830,-0.872,2650
1475,579,40.202,23.780,4020.223,2377.989,-123.812,0.737,1.144,1.698,1.197,0.784,0.827,-1.015,2649
1476,581,14.041,52.773,1404.147,5277.327,-84.075,0.726,1.256,1.495,1.071,0.733,0.835,-0.583,2657
1477,388,22.915,34.614,2291.515,3461.447,85.064,1.667,0.979,1.196,1.082,0.740,0.950,0.367,2657
1478,291,30.995,23.301,3099.536,2330.111,87.567,1.512,0.884,0.788,1.221,0.738,0.784,0.387,2657
1479,244,16.837,43.028,1683.683,4302.762,107.789,1.697,1.002,0.839,1.298,0.743,0.785,0.562,2648
1480,426,47.608,24.745,4760.792,2474.507,4.600,1.357,1.071,1.437,1.004,0.882,0.822,-0.013,2661
1481,784,14.283,50.643,1428.284,5064.256,-56.062,0.866,1.165,1.338,1.095,0.853,0.900,-0.401,2622
1482,365,47.724,24.390,4772.370,2438.998,57.728,1.449,0.970,1.018,1.171,0.802,0.930,0.229,2669
1483,258,47.520,25.053,4751.993,2505.260,17.812,1.595,1.280,0.840,1.951,0.890,0.602,0.084,2668
1484,1120,19.612,36.936,1961.190,3693.648,-0.377,1.060,0.953,1.344,0.713,0.947,0.693,-0.045,2666
1485,1094,19.489,36.861,1948.879,3686.095,-48.555,0.935,0.929,1.332,0.868,0.997,0.789,-0.337,2665
1486,400,48.128,24.491,4812.779,2449.090,83.842,0.893,1.579,0.956,1.157,0.723,0.905,0.359,2665
1487,791,19.528,36.762,1952.819,3676.196,43.770,1.054,1.117,1.231,0.741,0.971,0.751,0.199,2664
1488,397,47.782,24.526,4778.169,2452.599,-11.855,1.100,0.819,1.177,0.861,0.853,0.845,-0.119,2664
1489,901,46.908,24.519,4690.815,2451.905,12.034,1.474,0.859,1.177,1.114,0.736,0.972,0.042,2662
1490,204,14.048,52.878,1404.757,5287.780,-53.586,1.008,1.590,1.766,1.213,0.776,0.814,-0.381,2660
1491,641,14.268,52.765,1426.790,5276.456,-99.308,0.751,1.056,1.380,1.161,0.832,0.914,-0.733,2658
